Nama Menu,Harga
Bubur Ayam,8000
Bubur Kacang Ijo,6000
Bubur Ketan Hitam,6000
Bubur Kacang Ijo + Ketan Hitam,8000
Burjo Spesial,10000
Telur Dadar,5000
Telur Balado,6000
Ayam Opor,8000
Ayam Balado,8000
Ayam Kentaki,9000
Ati Ampela,7000
Sarden,7000
Nasi Sayur,5000
Orak Arik Original,7000
Orak Arik Bakso,9000
Orak Arik Sosis,9000
Orak Arik Ayam,10000
Orak Arik Spesial,13000
Omlet,11000
Indomie Tante,7000
Indomie Intel,9000
Indomie Bakso,10000
Indomie Sosis,10000
Indomie Ayam,10000
Indomie Spesial,15000
Mie Dok Dok Original,10000
Mie Dok Dok Bakso,12000
Mie Dok Dok Sosis,12000
Mie Dok Dok Ayam,13000
Mie Dok Dok Spesial,17000
Mie Oseng Original,10000
Mie Oseng Bakso,12000
Mie Oseng Sosis,12000
Mie Oseng Ayam,12000
Mie Oseng Spesial,16000
Nasi Goreng Original,10000
Nasi Goreng Bule,10000
Nasi Goreng Bakso,12000
Nasi Goreng Sosis,12000
Nasi Goreng Ayam,13000
Nasi Goreng Spesial,15000
Magelangan Original,11000
Magelangan Bakso,13000
Magelangan Sosis,13000
Magelangan Ayam,13000
Magelangan Spesial,16000
Mendoan,1000
Bakwan,1000
Pisang Goreng,1000
Tahu Isi,1000
Roti Bakar,7000
French Fries,7000
Sosis,7000
Bakso,7000
Mix Platter,15000